var1,var2,qv1,qv2,qv12,interaction,,,,,,,,,,,,,,,,
49,X5,X8,0.0554788715234067,0.114007946100873,0.149106283612971,"Enhance, bi-",,,,,,,,,,,,,,,
50,X5,X9,0.0554788715234067,0.146157436673325,0.168327408431769,"Enhance, bi-",,,,,,,,,,,,,,,
51,X5,X10,0.0554788715234067,0.127096913251061,0.148371030085824,"Enhance, bi-",,,,,,,,,,,,,,,
52,X5,X11,0.0554788715234067,0.0227496275976296,0.0711390158299936,"Enhance, bi-",,,,,,,,,,,,,,,
53,X5,X12,0.0554788715234067,0.0438664704523078,0.0877919817370464,"Enhance, bi-",,,,,,,,,,,,,,,
54,X5,X13,0.0554788715234067,0.0744233915793162,0.112204725207219,"Enhance, bi-",,,,,,,,,,,,,,,
55,X5,X14,0.0554788715234067,0.0501511735186797,0.115701220070712,"Enhance, nonlinear",,,,,,,,,,,,,,,
56,X6,X7,0.331957614659989,0.370604524919715,0.427347775722374,"Enhance, bi-",,,,,,,,,,,,,,,
57,X6,X8,0.331957614659989,0.114007946100873,0.346514436533314,"Enhance, bi-",,,,,,,,,,,,,,,
58,X6,X9,0.331957614659989,0.146157436673325,0.38655617641165,"Enhance, bi-",,,,,,,,,,,,,,,
59,X6,X10,0.331957614659989,0.127096913251061,0.406182178257965,"Enhance, bi-",,,,,,,,,,,,,,,
60,X6,X11,0.331957614659989,0.0227496275976296,0.340503380009802,"Enhance, bi-",,,,,,,,,,,,,,,
61,X6,X12,0.331957614659989,0.0438664704523078,0.339451172076339,"Enhance, bi-",,,,,,,,,,,,,,,
62,X6,X13,0.331957614659989,0.0744233915793162,0.348503404214282,"Enhance, bi-",,,,,,,,,,,,,,,
63,X6,X14,0.331957614659989,0.0501511735186797,0.35130930308907,"Enhance, bi-",,,,,,,,,,,,,,,
64,X7,X8,0.370604524919715,0.114007946100873,0.387140922811832,"Enhance, bi-",,,,,,,,,,,,,,,
65,X7,X9,0.370604524919715,0.146157436673325,0.392705166292576,"Enhance, bi-",,,,,,,,,,,,,,,
66,X7,X10,0.370604524919715,0.127096913251061,0.413560028693299,"Enhance, bi-",,,,,,,,,,,,,,,
67,X7,X11,0.370604524919715,0.0227496275976296,0.377024810912595,"Enhance, bi-",,,,,,,,,,,,,,,
68,X7,X12,0.370604524919715,0.0438664704523078,0.376666377779196,"Enhance, bi-",,,,,,,,,,,,,,,
69,X7,X13,0.370604524919715,0.0744233915793162,0.381407187103185,"Enhance, bi-",,,,,,,,,,,,,,,
70,X7,X14,0.370604524919715,0.0501511735186797,0.383625588167634,"Enhance, bi-",,,,,,,,,,,,,,,
71,X8,X9,0.114007946100873,0.146157436673325,0.168697787004534,"Enhance, bi-",,,,,,,,,,,,,,,
72,X8,X10,0.114007946100873,0.127096913251061,0.170218995755762,"Enhance, bi-",,,,,,,,,,,,,,,
73,X8,X11,0.114007946100873,0.0227496275976296,0.121930456598785,"Enhance, bi-",,,,,,,,,,,,,,,
74,X8,X12,0.114007946100873,0.0438664704523078,0.12098581701991,"Enhance, bi-",,,,,,,,,,,,,,,
75,X8,X13,0.114007946100873,0.0744233915793162,0.126759094908498,"Enhance, bi-",,,,,,,,,,,,,,,
76,X8,X14,0.114007946100873,0.0501511735186797,0.169769238803018,"Enhance, nonlinear",,,,,,,,,,,,,,,
77,X9,X10,0.146157436673325,0.127096913251061,0.192027114188502,"Enhance, bi-",,,,,,,,,,,,,,,
